Sample name	Min	1st Q	Mode	Median	Mean	3rd Q	Max
Archer	0	22	27	27	28.8176	32	24288
Archer_10x	0	7	9	9	10.2742	12	9972
Archer_15x	0	11	14	14	15.3004	17	13919
Archer_20x	0	15	19	19	20.2531	23	17648
Archer_25x	0	19	23	23	25.1369	28	21469
IA3023	0	78	104	99	108.402	118	147347
IA3023_10x	0	6	8	9	10.5755	12	19078
IA3023_15x	0	9	13	13	15.767	17	25934
IA3023_20x	0	13	18	18	20.9133	23	31701
IA3023_25x	0	17	23	23	26.0266	28	36725
IA3023_30x	0	20	28	27	31.1077	34	41221
IA3023_40x	0	28	37	36	41.1905	45	54196
M92_220	0	46	60	59	62.4136	71	46083
M92_220_10x	0	7	9	10	10.9719	13	13542
M92_220_15x	0	11	15	15	16.2948	19	18871
M92_220_20x	0	15	20	20	21.5186	25	23365
M92_220_25x	0	19	25	25	26.6473	30	27355
M92_220_30x	0	22	30	29	31.688	36	30870
M92_220_40x	0	30	39	39	41.5085	47	36591
Minsoy	0	21	27	26	29.0497	32	37230
Minsoy_10x	0	6	9	9	10.328	12	15113
Minsoy_15x	0	10	14	14	15.3566	17	21641
Minsoy_20x	0	14	18	18	20.3032	22	27584
Minsoy_25x	0	18	23	23	25.1668	27	33036
Noir	0	19	24	24	26.3688	29	32766
Noir_10x	0	7	9	9	10.2895	12	14218
Noir_15x	0	10	14	14	15.2992	17	20400
Noir_20x	0	14	18	18	20.2215	22	26031
Noir_25x	0	18	23	23	25.0575	27	31354
Williams	0	16	20	21	23.3106	27	19654
Williams_10x	0	8	11	12	12.8426	15	11286
Williams_15x	0	12	15	16	17.6286	20	14100
Williams_20x	0	15	19	19	21.3831	25	17138
Wm82_ISU	0	11	14	14	15.8372	19	15453
Wm82_ISU_10x	0	6	9	9	10.0735	12	10941
Wm82_ISU_15x	0	10	13	14	15.0153	18	14836
Glycine_soya_merged	0	8	9	17	23.0718	29	22646
Glycine_soya_paired_35bp	0	2	4	5	5.68688	7	3489
Glycine_soya_paired_75bp	0	3	1	10	16.1566	21	20189
Glycine_soya_single	0	0	1	1	1.22837	2	71
